id,name_primary,name_alt1,name_alt2,name_alt3,group,country,river_area,district_resort,lat,lng,coord_confidence,notes,source,mz_clinic
1,Agoodé,Boniville (old),,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.530,-54.040,medium,Traditional Aluku village; once called Boniville; near Papaïchton; capital before Papaïchton,Wikipedia (Aluku),no
2,Assissi,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.480,-54.060,medium,Traditional Aluku village; one of the original Lawa River settlements,Wikipedia (Aluku),no
3,Ingi Pule Chton,,,,Aluku,French Guiana,Lawa River / Beïman creek,Maripasoula commune,3.550,-54.030,low,Settlement near historical Dikan lo (Ndyuka) area; contemporary Aluku settlement,French Guiana Maroons report,no
4,Kormontibo,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.500,-54.050,medium,Traditional Aluku village; one of the villages founded after 1841 settlement on Lawa River,Wikipedia (Aluku),no
5,Loca,Loka,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.520,-54.055,medium,Hamlet in commune of Papaïchton; traditional Aluku settlement,Wikipedia (Papaichton),no
6,Nouveau Wakapou,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.540,-54.045,medium,Traditional Aluku village near Papaïchton,Wikipedia (Aluku),no
7,Papaichton,Papaïchton,Pompidouville,Boniville,Aluku,French Guiana,Lawa River,Papaïchton commune,3.809529,-54.150319,high,Capital/granman seat of Aluku; commune seat; founded 1895; previously called Boniville; renamed Pompidouville 1971. Cottica Mountain nearby; GPS verified by Google Earth,Wikipedia (Papaichton),no
8,Pobiansi,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.470,-54.070,medium,One of earliest Aluku villages on Lawa River after 1841 settlement,Wikipedia (Aluku),no
9,Puumofu,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.460,-54.080,medium,One of earliest Aluku villages on Lawa River,Wikipedia (Aluku),no
10,Tabiki,,,,Aluku,French Guiana,Lawa River,Papaïchton commune,3.510,-54.048,medium,Traditional Aluku village near Papaïchton,Wikipedia (Aluku),no
11,Cottica Lawa,Cotticadorp,Cottica,,Aluku / Ndyuka,Suriname,Marowijne River border,Tapanahony,3.852908,-54.227476,high,Village on Marowijne/Lawa border; Aluku history; resettled 1902; only Aluku village in Suriname. Clinic and school present; airstrip: Cottica (irregular charter); GPS verified by Google Earth,Wikipedia (Cottica),yes
